_id,symbol,date,open,high,low,close,volume
673a2c9defe55bc7144a740d,INTC,2024-11-13,24.0600,25.1400,24.0200,24.9200,58201972
673a2c9defe55bc7144a740e,INTC,2024-11-12,24.6600,24.9600,23.8900,24.1600,62539733
673a2c9defe55bc7144a740f,INTC,2024-11-11,25.9600,26.2863,24.8300,25.0500,80185321
673a2c9defe55bc7144a7410,INTC,2024-11-08,26.0000,26.4300,25.8300,26.2000,76427983
673a2c9defe55bc7144a7411,INTC,2024-11-07,25.4300,26.3799,25.1900,26.2300,101489302
673a2c9defe55bc7144a7412,INTC,2024-11-06,24.3000,25.1200,24.0500,25.0500,116760537
673a2c9defe55bc7144a7413,INTC,2024-11-05,22.5800,23.5800,22.4000,23.3200,59153326
673a2c9defe55bc7144a7414,INTC,2024-11-04,22.9600,23.0000,22.0000,22.5200,84616300
673a2c9eefe55bc7144a7415,ORCL,2024-11-15,184.5200,185.8000,182.3300,183.7400,8986276
673a2c9eefe55bc7144a7416,ORCL,2024-11-14,188.6600,189.5900,186.7100,187.0500,7804318
673a2c9eefe55bc7144a7417,ORCL,2024-11-13,189.0000,191.7700,188.7895,189.6300,5695426
673a2c9eefe55bc7144a7418,ORCL,2024-11-12,188.5400,190.6100,187.2000,189.5800,6629891
673a2c9eefe55bc7144a7419,ORCL,2024-11-11,191.0500,191.5000,187.8400,189.1300,5973638
673a2c9eefe55bc7144a741a,ORCL,2024-11-08,186.2600,190.1600,186.2600,189.2500,8520419
673a2c9eefe55bc7144a741b,ORCL,2024-11-07,181.0800,186.6700,180.5400,186.3700,7759399
673a2c9eefe55bc7144a741c,ORCL,2024-11-06,178.5200,182.1000,177.4153,181.2400,11084987
673a2c9eefe55bc7144a741d,ORCL,2024-11-05,170.4700,171.8900,170.3200,171.7800,5456754
673a2c9eefe55bc7144a741e,ORCL,2024-11-04,170.3100,170.4800,168.7300,169.5900,4804405
673a2c9eefe55bc7144a741f,ADBE,2024-11-15,520.3000,524.4999,498.8100,503.3700,4612417
673a2c9eefe55bc7144a7420,ADBE,2024-11-14,530.5500,534.6399,523.4600,529.8700,3098800
673a2c9eefe55bc7144a7421,ADBE,2024-11-13,523.7900,539.9200,520.5900,532.5000,3470174
673a2c9eefe55bc7144a7422,ADBE,2024-11-12,504.3900,528.9100,504.2700,526.4200,4125288
673a2c9eefe55bc7144a7423,ADBE,2024-11-11,493.6000,507.7200,493.6000,504.4800,3536599
673a2c9eefe55bc7144a7424,ADBE,2024-11-08,503.8300,505.0000,493.6900,494.6800,2856859
673a2c9eefe55bc7144a7425,ADBE,2024-11-07,510.6550,510.6550,495.3000,500.9200,2640295
673a2c9eefe55bc7144a7426,ADBE,2024-11-06,492.9300,506.2100,492.9300,504.8300,2969855
673a2c9eefe55bc7144a7427,ADBE,2024-11-05,483.0900,486.6590,480.4700,486.4200,1588149
673a2c9eefe55bc7144a7428,ADBE,2024-11-04,479.0300,483.7600,477.3700,481.3500,1955249
673a2c9eefe55bc7144a7429,IBM,2024-11-15,207.4600,208.4900,204.0700,204.9900,3986460
673a2c9eefe55bc7144a742a,IBM,2024-11-14,210.0000,210.4999,206.3500,208.9900,6372853
673a2c9eefe55bc7144a742b,IBM,2024-11-13,209.5000,211.4100,209.0701,210.9200,3247830
673a2c9eefe55bc7144a742c,IBM,2024-11-12,211.9000,213.0300,209.0600,210.8600,2818216
673a2c9eefe55bc7144a742d,IBM,2024-11-11,214.4000,215.4100,213.4800,213.5700,3012987
673a2c9eefe55bc7144a742e,IBM,2024-11-08,214.1600,216.7000,212.7809,213.7200,3201038
673a2c9eefe55bc7144a742f,IBM,2024-11-07,213.6400,214.5199,211.9300,213.6900,3675812
673a2c9eefe55bc7144a7430,IBM,2024-11-06,213.4800,214.3300,210.3700,213.6000,3934386
673a2c9eefe55bc7144a7431,IBM,2024-11-05,206.1700,208.1150,205.5700,207.5700,2441535
673a2c9eefe55bc7144a7432,IBM,2024-11-04,207.6500,207.7000,205.8000,206.3200,2594119
673a2c9fefe55bc7144a7433,CRM,2024-11-15,326.9300,330.2600,324.1800,325.2600,7093003
673a2c9fefe55bc7144a7434,CRM,2024-11-14,342.4400,346.0000,330.8200,331.6500,7630619
673a2c9fefe55bc7144a7435,CRM,2024-11-13,345.5000,348.1906,338.7700,341.7200,6902936
673a2c9fefe55bc7144a7436,CRM,2024-11-12,339.2900,348.8600,338.5100,341.1500,7659675
673a2c9fefe55bc7144a7437,CRM,2024-11-11,325.2500,344.8800,325.2500,341.7300,13954199
673a2c9fefe55bc7144a7438,CRM,2024-11-08,310.0300,322.8100,309.4370,321.9500,8484970
673a2c9fefe55bc7144a7439,CRM,2024-11-07,307.5000,312.1900,306.0001,310.7800,5722636
673a2c9fefe55bc7144a743a,CRM,2024-11-06,305.0000,308.5600,303.0700,306.9000,5874885
673a2c9fefe55bc7144a743b,CRM,2024-11-05,297.4400,298.8100,294.7400,297.4900,4456064
673a2c9fefe55bc7144a743c,CRM,2024-11-04,297.9900,300.1800,292.9200,298.0100,5108329
673a2c9fefe55bc7144a743d,NFLX,2024-11-15,832.0400,832.0400,816.4900,823.9600,3673720
673a2c9fefe55bc7144a743e,NFLX,2024-11-14,833.6700,840.9997,830.0200,837.2600,3038231
673a2c9fefe55bc7144a743f,NFLX,2024-11-13,822.6150,836.9899,820.5368,830.4700,2767772
673a2c9fefe55bc7144a7440,NFLX,2024-11-12,807.5000,820.3697,803.7500,819.5000,2814064
673a2c9fefe55bc7144a7441,NFLX,2024-11-11,795.9000,806.8230,795.5650,805.4400,2399150
673a2c9fefe55bc7144a7442,NFLX,2024-11-08,797.3600,799.0600,788.6500,795.0400,1910626
673a2c9fefe55bc7144a7443,NFLX,2024-11-07,781.3700,798.2200,779.9400,796.5400,3295074
673a2c9fefe55bc7144a7444,NFLX,2024-11-06,771.5000,781.4900,757.3800,780.2100,3690817
673a2c9fefe55bc7144a7445,NFLX,2024-11-05,757.3500,767.5299,756.2700,763.9100,2200645
673a2c9fefe55bc7144a7446,NFLX,2024-11-04,753.1400,762.4800,749.6900,755.5100,1902194
673a2c9fefe55bc7144a7447,QCOM,2024-11-15,163.0000,164.3250,159.6000,160.5000,9737033
673a2c9fefe55bc7144a7448,QCOM,2024-11-14,162.9500,164.9100,161.8700,163.9700,7012644
673a2c9fefe55bc7144a7449,QCOM,2024-11-13,162.7900,162.9400,159.7500,160.4200,7921747
673a2c9fefe55bc7144a744a,QCOM,2024-11-12,167.0500,167.3300,161.8601,163.4100,8483331
673a2c9fefe55bc7144a744b,QCOM,2024-11-11,170.0000,170.7900,166.0900,168.2900,7829485
673a2c9fefe55bc7144a744c,QCOM,2024-11-08,172.0900,173.4900,168.7546,170.9100,10736646
673a2c9fefe55bc7144a744d,QCOM,2024-11-07,180.2650,182.1000,171.6300,172.9100,23586315
673a2c9fefe55bc7144a744e,QCOM,2024-11-06,169.2500,178.4500,168.6700,172.9900,17661921
673a2c9fefe55bc7144a744f,QCOM,2024-11-05,165.0000,167.5900,164.2450,165.9100,5373163
673a2c9fefe55bc7144a7450,QCOM,2024-11-04,165.0600,167.5000,163.6350,165.1800,4949802
